Brand,Name,MRP,Discount_Price,Rating,Total_Rating,Total_Reviews
Vivo,"vivo Y02t (Sunset Gold, 64 GB)",13999,8929,4.2,2608,112
Vivo,"vivo Y02t (Cosmic Grey, 64 GB)",15999,8999,4.2,2608,112
Vivo,"vivo Y02 (Orchid Blue, 32 GB)",12999,9249,4.2,1175,57
Vivo,"vivo Y16 (Drizzling Gold, 64 GB)",15999,9625,4.3,5962,325
Vivo,"vivo Y16 (Steller Black, 64 GB)",15990,9665,4.3,5962,325
Vivo,"vivo Y91i (Ocean Blue, 32 GB)",16990,9990,4.3,43227,2909
Vivo,"vivo Y21E (Diamond Glow, 64 GB)",13999,9990,4.3,397,25
Vivo,"vivo Y12s (Phantom Black, 32 GB)",13990,9990,4.3,16387,1124
Vivo,"vivo Y12s (Glacier Blue, 32 GB)",13999,9990,4.3,16387,1124
Vivo,"vivo Y16 (Drizzling Gold, 64 GB)",16999,10143,4.2,3050,156
Vivo,"vivo Y15s (Mystic Blue, 32 GB)",14990,10349,4.3,4620,321
Vivo,"vivo Y15s (Wave Green, 32 GB)",14990,10449,4.3,4620,321
Vivo,"vivo Y16 (Steller Black, 64 GB)",16999,10799,4.3,5962,325
Google,"Google Pixel 3 (Pink, 64 GB)",22999,21500,4.5,1462,205
Google,"Google Pixel 3 XL (NOT PINK, 64 GB)",24999,22500,4.6,889,111
Google,"Google Pixel 6a (Charcoal, 128 GB)",43999,27999,4.3,71494,8349
Google,"Google Pixel 6a (Chalk, 128 GB)",43999,27999,4.3,71494,8349
Google,"Google Pixel 7a (Coral, 128 GB)",43999,37999,4.1,12909,1484
Google,"Google Pixel 7a (Sea, 128 GB)",43999,37999,4.1,12909,1484
Google,"Google Pixel 7a (Charcoal, 128 GB)",43999,37999,4.1,12909,1484
Google,"Google Pixel 7a (Snow, 128 GB)",43999,37999,4.1,12909,1484
Google,"Google Pixel 7 (Obsidian, 128 GB)",59999,40999,4.3,10299,1272
Google,"Google Pixel 7 (Lemongrass, 128 GB)",59999,40999,4.3,10299,1272
Google,"Google Pixel 7 (Snow, 128 GB)",59999,40999,4.3,10299,1272
Google,"Google Pixel 7 Pro (Snow, 128 GB)",84999,61999,4.3,4670,659
Google,"Google Pixel 7 Pro (Hazel, 128 GB)",84999,61999,4.3,4670,659
Google,"Google Pixel 7 Pro (Obsidian, 128 GB)",84999,61999,4.3,4670,659
Google,"Google Pixel 8 (Rose, 128 GB)",21999,75999,4.3,690,107
